級別	字詞	中文釋義
中高級	navigation	[名詞] 航海;航空;導航
中級	navy	[名詞] 海軍
初級	near	[形容詞] 近的; [動詞] 近,接近;幾乎,差不多; [副詞] 近地; [介系詞] 接近
中級	nearby	[形容詞] 附近的; [副詞] 在附近
初級	nearly	[副詞] 幾乎,差不多;密切地,親密地
中高級	nearsighted	[形容詞] 近視的
中級	neat	[形容詞] 整潔的;整齊的
中級	necessarily	[副詞] 必然地;必需地
初級	necessary	[形容詞] 需要的
中高級	necessitate	[動詞] 使成為必需;需要
中級	necessity	[名詞] 必需品
初級	neck	[名詞] 脖子
初級	necklace	[名詞] 項鍊
中高級	necktie	[名詞] 領帶
初級	need	[動詞] 需要; [助動詞] (用於疑問句和否定句)需要,必須; [名詞] 需要;需求;貧窮
初級	needle	[動詞] (用話)刺激,挑逗;用針縫; [名詞] 針
中級	needy	[形容詞] 貧窮的
初級	negative	[形容詞] 否定的;負面的; [名詞] 否定語;負數;陰電;底片
中級	neglect	[動詞] 忽視,忽略
中高級	negligible	[形容詞] 無關緊要的;微不足道的
中級	negotiate	[動詞] 談判,協商
中級	negotiation	[名詞] 談判,協商
中高級	negotiator	[名詞] 磋商者;交涉者
初級	neighbor	[動詞] 與...為鄰; [名詞] 鄰居
中級	neighborhood	[名詞] 近鄰
中高級	neighboring	[形容詞] 鄰近的
初級	neither	[形容詞] 兩者都不; [副詞] 也不; [連接詞] 也不; [代名詞] 兩者都不
中高級	neon	[名詞] 氖;霓虹燈
初級	nephew	[名詞] 侄子;外甥
中級	nerve	[動詞] 鼓勵,激勵; [名詞] 神經
初級	nervous	[形容詞] 緊張的
初級	nest	[動詞] 築巢;巢居;伏窩; [名詞] 巢
中級	net	[形容詞] 純淨的,純的,淨值的;最終的; [動詞] 用網捕;使淨賺; [名詞] 網子
中級	network	[動詞] 聯播; [名詞] 電視網;電腦網絡
中高級	neutral	[形容詞] 中立的;中立國的;空檔的; [名詞] 中立者;中立國;空檔
初級	never	[副詞] 永不
中級	nevertheless	[副詞] 仍然,不過,然而
初級	new	[形容詞] 新的
初級	New Year's Day	[片語] 元旦
初級	New Year's Eve	[片語] 除夕
初級	New York	[名詞] 紐約
中級	newcomer	[名詞] 新手;初學者
中高級	newly	[副詞] 新近,最近;重新
中高級	newlywed	[名詞] 新結婚的人
初級	news	[名詞] 新聞
中高級	newscast	[名詞] 新聞廣播
中級	newscaster	[名詞] 新聞廣播員
初級	newspaper	[名詞] 報紙
中高級	newsreel	[名詞] 新聞影片
初級	next	[形容詞] 下一個; [副詞] 接下去,然後;下次;第二
中高級	nibble	[動詞] 一點點地咬(或吃); [名詞] 細咬;啃;少量
初級	nice	[形容詞] 好的
中高級	nick	[動詞] 刻痕於;弄缺;恰好趕上; [名詞] 槽口;刻痕;關鍵時刻
中高級	nickel	[動詞] 鍍鎳於; [名詞] 鎳;五分鎳幣
中級	nickname	[動詞] 給...起綽號; [名詞] 綽號,渾名
初級	niece	[名詞] 侄女;外甥女
初級	night	[名詞] 夜晚
中高級	nightclub	[名詞] 夜總會
中高級	nightingale	[名詞] 夜鶯
中級	nightmare	[名詞] 夢魘;惡夢
中高級	nil	[名詞] 無;零
初級	nine	[形容詞] 九的; [名詞] 九
初級	nineteen	[形容詞] 十九的; [名詞] 十九
初級	ninety	[形容詞] 九十的; [名詞] 九十
中高級	nitrogen	[名詞] 氮
初級	no	[形容詞] 沒有;不; [副詞] 不; [名詞] 不;沒有;拒絕;反對票
中級	noble	[形容詞] 崇高的;宏偉的; [名詞] 貴族
初級	nobody	[名詞] 無名小子; [代名詞] 無人
初級	nobody's	[縮短形] nobody is; nobody has
初級	nod	[動詞] 點頭; [名詞] 點頭
初級	noise	[名詞] 噪音
初級	noisy	[形容詞] 喧鬧的
中高級	nominal	[形容詞] 名字的;名義上的;微不足道的
中高級	nominate	[動詞] 提名;任命
中高級	nomination	[名詞] 提名;任命
中高級	nominee	[名詞] 被提名人
初級	none	[副詞] 毫不,決不; [代名詞] 毫無;無一(人或物)
中級	nonetheless	[副詞] 但是;仍然
中級	nonsense	[名詞] 胡說;胡鬧
中級	non-stop	[形容詞] 連續飛行; [副詞] 不停地
中高級	nonviolent	[形容詞] 非暴力的
初級	noodle	[名詞] 麵
初級	noon	[名詞] 中午
初級	nor	[連接詞] 亦不
中高級	norm	[名詞] 基準;規範;定額
中級	normal	[形容詞] 正常的,正規的
中級	normally	[副詞] 通常,按慣例
初級	north	[形容詞] 北方的; [副詞] 向北方; [名詞] 北方
中級	north-east	[副詞] 朝向東北
中級	north-west	[副詞] 朝向西北
初級	nose	[名詞] 鼻子
中高級	nostril	[名詞] 鼻孔
初級	not	[副詞] 不
中高級	notable	[形容詞] 值得注意的;顯著的; [名詞] 名人;顯要人物
中高級	notably	[副詞] 尤其;特別;顯著地
中高級	notation	[名詞] 標記法;記號;樂譜
初級	note	[動詞] 注意;記下; [名詞] 筆記;音符;記錄;便條
初級	notebook	[名詞] 筆記本
中高級	noted	[形容詞] 有名的
初級	nothing	[名詞] 無事;無物;沒什麼; [代名詞] 無事;無物
初級	notice	[動詞] 注意到;通知; [名詞] 注意;通知
中高級	noticeable	[形容詞] 顯而易見的;顯著的
中高級	notify	[動詞] 通知;公佈
中高級	notion	[名詞] 概念;想法;打算
中高級	notorious	[形容詞] 惡名昭彰的
中高級	notwithstanding	[副詞] 儘管;還是; [介系詞] 儘管
中級	noun	[名詞] 名詞
中級	nourish	[動詞] 養育;滋養
初級	novel	[形容詞] 新的,新穎的,新奇的; [名詞] 小說
中級	novelist	[名詞] 小說家
中高級	novelty	[名詞] 新穎;新奇;新穎的事物
初級	November	[名詞] 十一月
中高級	novice	[名詞] 新手;初學者
初級	now	[副詞] 現在; [名詞] 現在,目前,此刻
中級	nowadays	[副詞] 現今,時下
中級	nowhere	[副詞] 任何地方都不
中級	nuclear	[形容詞] 原子能的;細胞核的
中高級	nucleus	[名詞] (原子)核;細胞核;核心
中高級	nude	[形容詞] 裸的;與生俱有的; [名詞] 裸體畫像;裸體
中高級	nuisance	[名詞] 討厭的人(或事物);騷擾行為
初級	number	[動詞] 編號,總數達到,共計; [名詞] 號碼;數字
中高級	numerical	[形容詞] 數字的
中級	numerous	[形容詞] 許多的,很多的
中級	nun	[名詞] 修女;尼姑
初級	nurse	[動詞] 看護,護理;給...餵奶;培育;當奶媽; [名詞] 護士
中級	nursery	[名詞] 托兒所;苗圃
中級	nursing	[名詞] 看護, 護理
中高級	nurture	[動詞] 養育;培育; [名詞] 營養物;養育;培育
中級	nut	[名詞] 核果
中級	nutrient	[名詞] 營養物,滋養物
中級	nutrition	[名詞] 營養,滋養
中高級	nutritious	[形容詞] 有營養的
中級	nylon	[名詞] 尼龍
中級	oak	[名詞] 橡樹
中高級	oar	[名詞] 槳;櫓;划手
中高級	oasis	[名詞] (沙漠中)的綠洲
中高級	oath	[名詞] 誓言;宣誓
中高級	oatmeal	[名詞] 燕麥片;燕麥粥
中高級	obedience	[名詞] 服從;順從
中級	obedient	[形容詞] 服從的,順從的
初級	obey	[動詞] 服從
中高級	obituary	[名詞] 訃告
初級	object	[動詞] 反對; [名詞] 物件
中級	objection	[名詞] 反對;異議
中級	objective	[形容詞] 客觀的; [名詞] 目的,目標
中高級	obligate	[動詞] 使負義務;強使;施以恩惠
中高級	obligation	[名詞] (道義上或法律上的)義務
中高級	obligatory	[形容詞] 義不容辭的;有義務的
中高級	oblige	[動詞] 使不得不;迫使;施恩於
中高級	oblong	[形容詞] 橢圓形的; [名詞] 橢圓形
中高級	obscene	[形容詞] 淫穢的;令人厭惡的;令人吃驚的
中高級	obscure	[形容詞] 暗的;模糊的;偏僻的;微賤的; [動詞] 使變暗;遮掩;使難理解
中級	observation	[名詞] 觀察;觀測
中級	observe	[動詞] 看到;觀察
中高級	observer	[名詞] 觀察員;奉行者
中高級	obsess	[動詞] 迷住;使著迷;纏住
中高級	obsession	[名詞] 著迷;被纏住;著魔
中級	obstacle	[名詞] 障礙(物);妨礙
中高級	obstinate	[形容詞] 頑固的;頑強的
中級	obtain	[動詞] 得到,獲得
中級	obvious	[形容詞] 明顯的;顯著的
中級	obviously	[副詞] 明顯地;顯然地
中級	occasion	[名詞] 場合,時刻
中級	occasional	[形容詞] 偶爾的,非經常的
中級	occupation	[名詞] 工作,職業;佔領;佔用
中級	occupy	[動詞] 佔領,佔據
初級	occur	[動詞] 發生;出現
中高級	occurrence	[名詞] 發生;出現;事件
初級	ocean	[名詞] 海洋
初級	o'clock	[副詞] ...點鐘
初級	October	[名詞] 十月
中高級	octopus	[名詞] 章魚
中級	odd	[形容詞] 奇特的,古怪的;單數的
中高級	odds	[名詞] 機會;可能性;投注賠率;不和
中高級	odor	[名詞] 氣味
初級	of	[介系詞] …的，屬於
初級	off	[形容詞] 離去的;偏離的;休假的;關著的; [副詞] 脫下; [介系詞] 離去
中級	offend	[動詞] 冒犯;觸怒
中級	offense	[名詞] 進攻,攻擊;冒犯;觸怒
中級	offensive	[形容詞] 冒犯的,唐突的; [名詞] 進攻,攻勢
初級	offer	[動詞] 提供; [名詞] 提供,提議;出價;報價
中高級	offering	[名詞] 提供;供奉;捐獻物;供物;課程
初級	office	[名詞] 辦公室
初級	officer	[名詞] 軍官;官員
初級	official	[形容詞] 官方的,法定的; [名詞] 官員,公務員
中高級	offset	[動詞] 補償;抵銷; [名詞] 補償;抵銷
中高級	offshore	[形容詞] 近海的;離岸的;國外的; [副詞] 離岸;向海面
中高級	offspring	[名詞] 子女;子孫;後代
初級	often	[副詞] 常常
中級	oh	[感歎詞] 哦,啊,哎呀;喂,噢
初級	oil	[動詞] 給...加潤滑油;賄賂; [名詞] 油
初級	OK	[形容詞] 好吧; [動詞] 尚可;挺好;批准; [副詞] 尚可;挺好;對吧; [名詞] 認可,批准
初級	old	[形容詞] 年老的
中高級	old-fashioned	[形容詞] 舊式的;過時的
中高級	olive	[形容詞] 橄欖的;橄欖色的; [名詞] 橄欖;橄欖色
中級	Olympic	[形容詞] 奧林匹克(競賽)的
初級	omit	[動詞] 略過
初級	on	[副詞] 繼續;向前;開著;;在進行中; [介系詞] 在…上面
初級	once	[副詞] 一次; [連接詞] 一旦,一經...便; [名詞] 一次,一回
初級	one	[形容詞] 一個的; [名詞] 一;一個人;一件事物
中級	oneself	[代名詞] 自己
中級	one-sided	[形容詞] 片面的;單方面的
中高級	one-time	[形容詞] 只發生一次的
中高級	ongoing	[形容詞] 前進的;進行的;不間斷的
初級	onion	[名詞] 洋蔥
初級	only	[副詞] 只,僅僅,才;不料;反而; [連接詞] 可是,不過;要不是,若非
中級	onto	[介系詞] 到...之上;向...之上
中高級	opaque	[形容詞] 不透明的
初級	open	[形容詞] 打開的;空曠的;未定的;營業的;公開的; [動詞] 打開
中級	opener	[名詞] 開啟者;開端
中級	opening	[形容詞] 開首的,開始的; [名詞] 開始;開頭;(職位的)空缺
中高級	openly	[副詞] 公開地;坦率地
中級	opera	[名詞] 歌劇
初級	operate	[動詞] 運作;運轉;動手術
初級	operation	[名詞] 手術;操作
中高級	operational	[形容詞] 操作上的;經營上的
中高級	operative	[形容詞] 有效的;操作的;手術的; [名詞] 技工;偵探;間諜
中級	operator	[名詞] 接線生;運算符號
初級	opinion	[名詞] 意見
中級	opponent	[名詞] 對手;敵手,反對者
初級	opportunity	[名詞] 機會;良機
中級	oppose	[動詞] 反對
中級	opposite	[形容詞] 相反的,對立的; [副詞] 在對面,在對過; [名詞] 對立物
中級	opposition	[名詞] 反對;反抗
中高級	oppress	[動詞] 壓迫;壓制
中高級	oppression	[名詞] 壓迫;壓制
中高級	opt	[動詞] 選擇
中高級	optical	[形容詞] 眼睛的;視力的;光學的
中高級	optimism	[名詞] 樂觀;樂觀主義
中高級	optimistic	[形容詞] 樂觀的
中高級	optimum	[形容詞] 最理想的
中級	option	[名詞] 選擇;選擇權
中高級	optional	[形容詞] 隨意的;非必須的
初級	or	[連接詞] 或
中級	oral	[形容詞] 口頭的,口述的;口部的; [名詞] 口試
初級	orange	[形容詞] 橙色的; [名詞] 柳橙;橙色
中級	orbit	[動詞] 繞軌道運行; [名詞] 運行軌道
中高級	orchard	[名詞] 果樹園;果樹林
中級	orchestra	[名詞] 管弦樂隊
中高級	ordeal	[名詞] 嚴峻考驗;折磨
初級	order	[動詞] 點菜;訂購; [名詞] 定單
中級	orderly	[形容詞] 整齊的;有條理的; [名詞] 勤務員,護理員
初級	ordinary	[形容詞] 平常的
中高級	ore	[名詞] 礦;礦石;礦砂
中級	organ	[名詞] 器官
中級	organic	[形容詞] 有機的
中高級	organism	[名詞] 生物;有機體
初級	organization	[名詞] 組織
初級	organize	[動詞] 使有條理;安排
中高級	organized	[形容詞] 有組織的;有系統的
中高級	orient	[動詞] 使...朝東;定方位;使熟悉情況; [名詞] 亞洲國家(尤指東亞)
中高級	oriental	[形容詞] (珍珠等)光輝奪目的;優質的; [名詞] 東方人;亞洲人
中高級	orientation	[名詞] 定位;定向;新生訓練
中高級	oriented	[形容詞] 以...為方向的;以...為目的的
中級	origin	[名詞] 起源;由來
中級	original	[形容詞] 最初的,本來的;原始的; [名詞] 原著;原畫;原版
中高級	originality	[名詞] 創造力;獨創性;創見;創舉
中高級	originally	[副詞] 起初;原來
中高級	originate	[動詞] 發源;來自
中高級	ornament	[動詞] 裝飾;美化; [名詞] 裝飾品;裝飾
中級	orphan	[名詞] 孤兒
中級	orphanage	[名詞] 孤兒院;孤兒身分
中高級	orthodox	[形容詞] 正統的;傳統的
中高級	ostrich	[名詞] 駝鳥;有駝鳥心理的人
初級	other	[形容詞] 其他的; [代名詞] 其他的人或物
中級	otherwise	[副詞] 除此以外;否則,不然
中級	ought	[助動詞] 應當,應該
中級	ounce	[名詞] 盎司,英兩
初級	our	[代名詞] 我們的 (所有格)
初級	ours	[代名詞] (所有格) 我們的(東西)
中級	ourselves	[代名詞] (反身代名詞) 我們自己
中高級	oust	[動詞] 驅逐;攆走
初級	out	[形容詞] 在外的; [副詞] 在外地; [介系詞] 通過...而出
中高級	outbreak	[名詞] 爆發;暴動
中級	outcome	[名詞] 結果;結局
中高級	outdo	[動詞] 勝過;超越
中級	outdoor	[形容詞] 戶外的,露天的,野外的
中級	outdoors	[副詞] 在戶外,在野外,在露天;往戶外
中級	outer	[形容詞] 外面的,外表的
中高級	outfit	[動詞] 裝備;配備;供給; [名詞] 全套(工具、衣物等)
中高級	outgoing	[形容詞] 直率的;往外的;即將離職的;友善的
中高級	outing	[名詞] 遠足;郊遊
中高級	outlaw	[動詞] 宣佈...為不合法;禁止; [名詞] 罪犯;亡命之徒
中高級	outlet	[名詞] 出口;出路;商店
中級	outline	[動詞] 概述,略述; [名詞] 外形;輪廓
中高級	outlook	[名詞] 觀點;展望;風光;瞭望
中高級	outnumber	[動詞] 數量上超過
中級	output	[名詞] 出產;生產;產量
中高級	outrage	[動詞] 激起義憤;激怒;施暴行; [名詞] 暴行;不法行為;凌辱;義憤
中高級	outrageous	[形容詞] 可恥的;無法無天的;令人吃驚的
中高級	outright	[形容詞] 全部的;直率的;公開的; [副詞] 全部地;無保留地;公然
中高級	outset	[名詞] 最初;開始;開端
初級	outside	[形容詞] 外邊的,外部的; [副詞] 外面地; [介系詞] 在外; [名詞] 外面,外部;外側;外表
中高級	outsider	[名詞] 外人;門外漢;局外人
中高級	outskirts	[名詞] (複數)郊外;郊區
中級	outstanding	[形容詞] 傑出的;未償付的
中級	outward	[形容詞] 向外的;往外去的; [副詞] 向外;出海,出港
中級	oval	[形容詞] 卵形的;橢圓形的; [名詞] 卵形(物)
初級	oven	[名詞] 烤箱
初級	over	[形容詞] 結束了; [副詞] 在上方;越過;過分,太;再一次; [介系詞] 在…之上
中級	overall	[形容詞] 總的,全部的,全面的; [副詞] 總的來說;大體上; [名詞] 工作褲;工作服;防護服
中級	overcoat	[名詞] 外套,大衣
中級	overcome	[動詞] 戰勝;克服
中高級	overdo	[動詞] 把...做得過分;使過於疲勞
中高級	overeat	[動詞] 吃得過飽
中級	overflow	[動詞] 滿(或多)得溢出; [名詞] 溢出;過剩;泛濫
中級	overhead	[形容詞] 在上頭的;高架的; [副詞] 在頭頂上;在上頭;高高地
中高級	overhear	[動詞] 無意中聽到;偷聽
中高級	overlap	[動詞] 與...部分重疊; [名詞] 重疊
中級	overlook	[動詞] 眺望;俯瞰
中級	overnight	[形容詞] 通宵;整夜; [副詞] 一整夜的
初級	overpass	[名詞] 天橋
初級	overseas	[形容詞] 國外的; [副詞] 在海外
中高級	oversee	[動詞] 監視;監督;俯瞰
中高級	oversleep	[動詞] 睡過頭
中高級	overt	[形容詞] 明顯的;公然的;蓄意的
中級	overtake	[動詞] 追上;趕上;超過
中級	overthrow	[動詞] 打倒;推翻;廢除; [名詞] 打倒;推翻
中高級	overturn	[動詞] 使翻轉;翻倒;推翻
中級	overweight	[形容詞] 超重的;過重的
中高級	overwhelm	[動詞] 壓倒;征服;使受不了
中高級	overwhelming	[形容詞] 壓倒的;勢不可擋的
中高級	overwork	[動詞] 使工作過度;使過勞;過度使用; [名詞] 過於繁重的工作;過勞
中級	owe	[動詞] 欠(債等);應給予;應該做
中級	owl	[名詞] 貓頭鷹
初級	own	[形容詞] 自己的; [動詞] 擁有
初級	owner	[名詞] 物主
中級	ownership	[名詞] 物主身分;所有權
初級	ox	[名詞] 公牛
中高級	oxide	[名詞] 氧化物
中級	oxygen	[名詞] 氧;氧氣
中高級	oyster	[名詞] 牡蠣;沈默寡言的人
中高級	ozone	[名詞] 臭氧
初級	P.M.	[縮寫] 下午
中級	pace	[動詞] 踱步於; [名詞] 步速;速度;進度
中級	pacific	[形容詞] (大寫) 太平洋的; 愛好和平的; 溫和的;平靜的; [名詞] (大寫) 太平洋
初級	pack	[動詞] 包裝; [名詞] 一小包
初級	package	[名詞] 包裹
中高級	packaging	[名詞] 包裝
中高級	packed	[形容詞] 塞得滿滿的,擁擠的
中級	packet	[名詞] 小包(裹);小捆;小袋
中高級	packing	[名詞] 包裝;填料;襯墊
中高級	pact	[名詞] 契約;協定
中級	pad	[動詞] 填塞,襯填; [名詞] 墊,襯墊;護墊;鞍墊
中高級	paddle	[動詞] 用槳划(船); [名詞] 槳;(桌球的)球拍
中高級	pagan	[形容詞] 異教的;不信教的; [名詞] 異教徒;不信教的人
初級	page	[名詞] 頁
中高級	paid	[形容詞] 有薪金的;已付的;付清的
中高級	pail	[名詞] 桶;提桶
初級	pain	[名詞] 疼痛;痛苦
初級	painful	[形容詞] 痛的
初級	paint	[動詞] 畫圖;油漆; [名詞] 油漆,塗料
初級	painter	[名詞] 油漆匠;畫家
初級	painting	[名詞] 油畫,水彩畫
初級	pair	[名詞] 一副
初級	pajamas	[名詞] 睡衣
中級	pal	[名詞] 伙伴;好友
中級	palace	[名詞] 皇宮,宮殿
初級	pale	[形容詞] 蒼白的;黯淡的
中級	palm	[動詞] (變戲法等的)把...藏於手(掌)中; [名詞] 手掌,手心
中高級	pamphlet	[名詞] 小冊子
初級	pan	[名詞] 平鍋
中級	pancake	[名詞] 薄煎餅,薄烤餅
初級	panda	[名詞] 貓熊
中高級	pane	[名詞] 窗玻璃片;窗格;嵌板
中級	panel	[名詞] 鑲板;壁板;專門小組
中級	panic	[動詞] 使恐慌; [名詞] 恐慌,驚慌
初級	pants	[名詞] 褲子
中級	papa	[名詞] 爸爸
初級	papaya	[名詞] 木瓜
初級	paper	[名詞] 紙張
中高級	paperback	[名詞] 平裝本
中高級	par	[名詞] 同等;同價;同位;標準杆數
中級	parachute	[動詞] 傘降,跳傘; [名詞] 降落傘
中級	parade	[動詞] 在...遊行; [名詞] 行列,遊行
中級	paradise	[名詞] 樂園
中高級	paradox	[名詞] 自相矛盾的議論
中級	paragraph	[名詞] (文章的)段,節
中級	parallel	[形容詞] 平行的,同方向的; [動詞] 與...平行;比得上; [名詞] 平行線;平行面
中高級	paralysis	[名詞] 癱瘓;停頓
中高級	paralyze	[動詞] 使麻痺;使癱瘓
中高級	parameter	[名詞] 參(變)數
中級	parcel	[動詞] 分;分配; [名詞] 小包,包裹
初級	pardon	[動詞] 寬恕; [名詞] 原諒,饒恕,寬恕;赦免
初級	parent	[名詞] 雙親之一
初級	Paris	[名詞] 巴黎
中高級	parish	[名詞] 教區
初級	park	[動詞] 停放車輛; 放置; [名詞] 公園
中級	parking	[名詞] 停車;停車處
中級	parliament	[名詞] 議會,國會
中高級	parliamentary	[形容詞] 議會的;國會的
中高級	parlor	[名詞] 客廳;接待室; 店舖
初級	parrot	[名詞] 鸚鵡
中高級	parsley	[名詞] 荷蘭芹
中級	part	[動詞] 使分開,使分離;斷裂;告別; [名詞] 部份
中級	partial	[形容詞] 部分的,局部的;不完全的
中高級	partially	[副詞] 部分地
中級	participant	[名詞] 關係者;參與者
中級	participate	[動詞] 參加,參與
中高級	participation	[名詞] 參加
中級	participle	[名詞] 分詞
中高級	particle	[名詞] 微粒;顆粒
初級	particular	[形容詞] 特殊的;
中級	particularly	[副詞] 特別,尤其
中高級	partition	[動詞] 分割;(用隔板等)隔開; [名詞] 分割;劃分;分隔間
中高級	partly	[副詞] 部分地
初級	partner	[名詞] 夥伴
中級	partnership	[名詞] 合夥(或合作)關係
中高級	part-time	[形容詞] 部分時間的;兼職的
初級	party	[名詞] 派對
初級	pass	[動詞] 及格;經過;超過;傳遞; [名詞] 通行證;護照;及格;傳球動作;山隘
中級	passage	[名詞] 通行;走廊,過道
初級	passenger	[名詞] 乘客
中高級	passing	[形容詞] 經過的;越過的;及格的; [名詞] 經過;越過;通行及格;流逝
中級	passion	[名詞] 熱情,激情;酷愛
中高級	passionate	[形容詞] 熱情的;激昂的
中級	passive	[形容詞] 被動的;消極的
中級	passport	[名詞] 護照;通行證;執照
中高級	password	[名詞] 密碼;口令;暗語
初級	past	[形容詞] 過去的; [副詞] 過;經過;越過; [介系詞] 走過; [名詞] 過去,昔日;往事;經歷;過去式
中級	pasta	[名詞] 麵糰
初級	paste	[動詞] 黏貼; [名詞] 漿糊
中高級	pastime	[名詞] 消遣;娛樂
中高級	pastry	[名詞] 酥皮點心
中高級	pasture	[動詞] (牛;羊)吃草; [名詞] 牧草地;放牧場
中級	pat	[動詞] 輕拍,撫拍; [名詞] 輕拍,輕打
中高級	patch	[動詞] 補綴;修補;拼湊; [名詞] 補釘;補片;貼片
中高級	patent	[形容詞] 專利的; [動詞] 取得...的專利權; [名詞] 專利;專利權
初級	path	[名詞] 小徑;路線
中高級	pathetic	[形容詞] 可憐的;可悲的
中級	patience	[名詞] 耐心;忍耐;耐性;毅力
初級	patient	[形容詞] 有耐心的,能忍受的; [名詞] 病人
中高級	patriot	[名詞] 愛國者
中級	patriotic	[形容詞] 愛國的
中高級	patrol	[動詞] 巡邏;巡查; [名詞] 巡邏;巡邏兵
中高級	patron	[名詞] 贊助者;主顧(尤指老顧客)
中高級	patronage	[名詞] 資助;贊助;惠顧
初級	pattern	[名詞] 圖案;模式
初級	pause	[動詞] 中止; [名詞] 暫停,間歇;躊躇,猶豫
中級	pave	[動詞] 鋪,築(路等)
中高級	pavement	[名詞] 鋪築過的地面;人行道
中級	paw	[動詞] (用腳爪等)抓;扒; [名詞] 腳爪;爪子
初級	pay	[動詞] 付錢; [名詞] 薪俸;報酬;報償;懲罰
中級	payment	[名詞] 支付,付款
中高級	PDA	[縮寫] 個人數位助理
初級	PE	[縮寫] 體育 (physical education)
中級	pea	[名詞] 豌豆
初級	peace	[名詞] 和平
初級	peaceful	[形容詞] 寧靜的;和平的
中高級	peace-keeping	[名詞] 維護和平;停火協定的執行
初級	peach	[名詞] 桃子
中高級	peacock	[名詞] 孔雀;愛炫耀的人
中級	peak	[形容詞] 最高的,高峰的; [動詞] 使尖起;達到高峰;聳起; [名詞] 山頂;頂端
中級	peanut	[名詞] 花生;花生果;花生米
初級	pear	[名詞] 梨子
中級	pearl	[形容詞] 外表或顏色像珍珠的; [名詞] 珍珠
中級	peasant	[名詞] 農夫
中級	pebble	[名詞] 小卵石
中高級	peck	[動詞] 琢;輕吻; [名詞] 啄;啄痕;輕吻
中級	peculiar	[形容詞] 奇怪的;乖癖的
中級	pedal	[動詞] 踩踏板; [名詞] 踏板;腳蹬
中高級	peddle	[動詞] 挨戶兜售;沿街叫賣
中高級	peddler	[名詞] 小販
中高級	pedestrian	[形容詞] 徒步的;行人的; [名詞] 步行者;行人
中高級	peek	[動詞] 偷看;窺視; [名詞] 偷偷看;一瞥
中級	peel	[動詞] 削去;剝,去(皮,殼等); [名詞] (水果,蔬菜等的)皮;(對蝦等的)殼
中級	peep	[動詞] 窺,偷看; [名詞] 窺視;偷看;一瞥
中級	peer	[動詞] 凝視,盯著看; [名詞] 同輩,同事
中高級	peg	[動詞] 用木釘釘;用木夾夾; [名詞] 栓;樁;(曬衣用)衣夾;(木製)假腿
初級	pen	[名詞] 原子筆;墨水筆
中級	penalty	[名詞] 處罰;刑罰;罰款
初級	pencil	[名詞] 鉛筆
中高級	pending	[形容詞] 懸而未決的; [介系詞] 在...期間;直到...時為止
中高級	pendulum	[名詞] 擺錘;鐘擺
中高級	penetrate	[動詞] 穿過;透過;識破;滲透入
中級	penguin	[名詞] 企鵝
中高級	peninsula	[名詞] 半島
中高級	penis	[名詞] 陰莖
中級	penny	[名詞] 便士;一便士硬幣
中高級	pension	[動詞] 發給...退休金(或養老金等); [名詞] 退休金;養老金
中高級	pensioner	[名詞] 領養老金者
初級	people	[名詞] 人們
初級	pepper	[名詞] 胡椒;辣椒
中級	per	[介系詞] 經,由;每;按照
中高級	perceive	[動詞] 察覺;感知;意識到
中級	percent	[名詞] 百分之一
中級	percentage	[名詞] 百分率,百分比
中高級	perception	[名詞] 感知;察覺;認知
中高級	perch	[動詞] (鳥)飛落;棲息;(在較高處)暫歇; [名詞] (鳥類的)棲息處
中高級	perennial	[形容詞] 終年的;常年的; [名詞] 多年生植物
初級	perfect	[形容詞] 完美的; [動詞] 使完美;做完
中級	perfection	[名詞] 完美;盡善盡美
中級	perfectly	[副詞] 完美地;圓滿地;完全地,絕對地
中級	perform	[動詞] 履行;執行;表演, 演奏
中級	performance	[名詞] 演出;演奏;表演
中級	performer	[名詞] 演出者;演奏者;表演者
中級	perfume	[動詞] 使充滿香氣; [名詞] 香水;香料
初級	perhaps	[副詞] 或許;可能
中高級	peril	[動詞] 使有危險;危及; [名詞] (嚴重的)危險;危險的事物
初級	period	[名詞] 一段時間;一堂課
中高級	periodic	[形容詞] 週期的;定期的
中高級	periodical	[形容詞] 週期的;定期的;期刊的; [名詞] 期刊
中高級	perish	[動詞] 消滅;暴卒;枯萎
中級	permanent	[形容詞] 永久的,永恆的;永遠的; [名詞] 燙髮
中高級	permeate	[動詞] 滲入;浸透;彌漫
中高級	permissible	[形容詞] 可允許的
中級	permission	[名詞] 允許,許可,同意
中級	permit	[動詞] 允許,許可,准許; [名詞] 許可證,執照
中高級	perpetual	[形容詞] 永久的;長期的
中高級	perplex	[動詞] 使困惑;使費解
中高級	perseverance	[名詞] 堅持不懈;堅忍不拔
中高級	persevere	[動詞] 堅持不懈;不屈不撓
中級	persist	[動詞] 堅持;固執
中高級	persistence	[名詞] 堅持;固執;持續
中高級	persistent	[形容詞] 堅持不懈的;固執的;持續的
初級	person	[名詞] 人
初級	personal	[形容詞] 個人的
中級	personality	[名詞] 人格,品格
中高級	personnel	[名詞] (總稱)人員;員工;人事部門
中高級	perspective	[名詞] 看法;遠景;前途;透視圖
中級	persuade	[動詞] 說服,勸服
中級	persuasion	[名詞] 說服,勸說
中級	persuasive	[形容詞] 有說服力的
中高級	pertain	[動詞] 附屬;有關
中高級	pertinent	[形容詞] 恰當的;貼切的;有關的
中高級	pessimism	[名詞] 悲觀;悲觀主義
中級	pessimistic	[形容詞] 悲觀的
